NUMBER_OF_DRONES,MOBILITY_ALPHA,MAC_MODE,TRAFFIC_RATE,sent,arrived,pdr_percent,e2e_delay_ms,routing_load,throughput_kbps,hop_count,collisions,mac_delay_ms,inference_time_s,seed,timestamp
5,0.5,TDMA,5,407,251,61.67076167076168,1629.1385219123506,1.4183266932270917,47.59171429062187,1.545816733067729,781,63.900309623430964,203.41810274124146,2025,2026-02-03T01:26:57.029753
5,0.5,TDMA,5,399,262,65.6641604010025,1825.684179389313,1.3625954198473282,68.38788192546404,1.3282442748091603,424,38.9620684596577,212.80228328704834,2026,2026-02-03T01:27:06.414137
5,0.5,TDMA,5,385,285,74.02597402597402,533.1442280701754,1.224561403508772,48.9237453816313,1.6,661,48.5129395711501,220.0345003604889,2027,2026-02-03T01:27:13.646408
5,0.85,TDMA,5,407,308,75.67567567567568,942.4307857142857,1.1266233766233766,48.01197375320217,1.525974025974026,617,52.02186233269599,208.47395420074463,2025,2026-02-03T01:27:02.085883
5,0.85,TDMA,5,399,209,52.38095238095239,166.41846889952154,1.6842105263157894,120.04738444492085,1.0813397129186604,228,29.909755555555556,218.13018321990967,2026,2026-02-03T01:27:11.742219
5,0.85,TDMA,5,385,253,65.71428571428571,821.2523833992095,1.4150197628458498,55.76557271644577,1.6126482213438735,548,42.17163796477495,191.1618092060089,2027,2026-02-03T01:26:44.773954
10,0.5,TDMA,5,754,435,57.692307692307686,1814.0785885057471,1.9333333333333333,25.285565870355722,1.935632183908046,2468,65.55780234833661,214.04205346107483,2025,2026-02-03T01:27:07.654458
10,0.5,TDMA,5,768,381,49.609375,1485.812406824147,2.1128608923884515,39.23791947589942,1.874015748031496,2183,78.80205968586388,187.13189435005188,2026,2026-02-03T01:26:40.744465
10,0.5,TDMA,5,762,285,37.40157480314961,2141.1566000000003,2.8596491228070176,36.924899897127474,1.9333333333333333,2482,71.07719826517969,207.56948614120483,2027,2026-02-03T01:27:01.182087
10,0.85,TDMA,5,754,364,48.275862068965516,1980.316302197802,2.3543956043956045,35.67889599462215,1.7857142857142858,2759,100.61170981661272,201.95273566246033,2025,2026-02-03T01:26:55.565547
10,0.85,TDMA,5,768,378,49.21875,2157.5997883597884,2.082010582010582,30.904903727135437,1.91005291005291,2211,63.72319285042333,209.44067406654358,2026,2026-02-03T01:27:03.053739
10,0.85,TDMA,5,762,300,39.37007874015748,2229.633136666667,2.96,30.757060461155227,1.8933333333333333,2520,86.54118099547513,204.77648782730103,2027,2026-02-03T01:26:58.389649
