MAC_MODE,TRAFFIC_RATE,sent,arrived,pdr_percent,e2e_delay_ms,routing_load,throughput_kbps,hop_count,collisions,mac_delay_ms,inference_time_s,seed,timestamp
TDMA,5,754,662,87.79840848806366,408.85412235649545,1.0347432024169185,67.20630264687173,1.9743202416918428,1150,21.138769421487602,264.08652782440186,2025,2026-02-03T19:04:20.948218
TDMA,5,768,611,79.55729166666666,1326.2256072013095,1.1456628477905073,47.49890575620342,2.3780687397708675,1134,15.149536922015184,266.08746099472046,2026,2026-02-03T19:04:22.949407
TDMA,5,762,509,66.7979002624672,1153.5095717092338,1.6719056974459725,54.13483927333771,2.2927308447937134,1254,16.278753458096016,281.16786456108093,2027,2026-02-03T19:04:38.029876
TDMA,10,1564,915,58.50383631713555,2840.9645169398905,0.8218579234972677,9.249617520300152,1.7781420765027323,1006,24.92728449744463,283.3194773197174,2025,2026-02-03T19:04:40.181704
TDMA,10,1558,685,43.966623876765084,2965.966071532847,1.108029197080292,11.748012483585304,1.986861313868613,1170,21.433694560669455,279.4395532608032,2026,2026-02-03T19:04:36.301783
TDMA,10,1535,681,44.36482084690554,2758.5581556534507,1.1776798825256976,13.572550482135693,2.0088105726872247,1374,18.966589353612168,274.4554286003113,2027,2026-02-03T19:04:31.317778
TDMA,20,3184,918,28.831658291457284,4355.770142701525,0.954248366013072,9.028851239755014,1.4978213507625273,1027,30.855779028436018,276.43330907821655,2025,2026-02-03T19:04:33.296175
TDMA,20,3164,843,26.643489254108722,3827.03946856465,1.0249110320284698,12.406873087512135,1.498220640569395,1049,23.380349503214493,286.4954273700714,2026,2026-02-03T19:04:43.358018
TDMA,20,3161,766,24.232837709585574,3283.904528720627,1.1279373368146215,11.882823756084056,1.531331592689295,1149,21.173967876264125,277.6876311302185,2027,2026-02-03T19:04:34.550655
CSMA,5,754,708,93.89920424403184,23.93462288135593,0.9180790960451978,1065.2093744178171,1.652542372881356,20,4.832192653061224,271.9593858718872,2025,2026-02-03T19:04:28.822144
CSMA,5,768,723,94.140625,569.9938257261412,0.8990318118948825,776.7518330863232,2.160442600276625,48,4.874140567200987,270.0073022842407,2026,2026-02-03T19:04:26.870224
CSMA,5,762,543,71.25984251968504,775.2790055248619,1.570902394106814,759.2336284771524,2.2173112338858196,84,5.3243449612403095,280.2809739112854,2027,2026-02-03T19:04:37.144193
CSMA,10,1564,1500,95.9079283887468,44.221068,0.43333333333333335,691.4094140242912,1.674,52,5.38155710414247,267.59019684791565,2025,2026-02-03T19:04:24.453594
CSMA,10,1558,1256,80.61617458279846,1072.6556544585987,0.517515923566879,434.1335753655301,1.964968152866242,32,5.562050759668509,284.3344256877899,2026,2026-02-03T19:04:41.197806
CSMA,10,1535,1024,66.71009771986971,698.5069599609375,0.85546875,554.1391349353113,2.0048828125,149,6.14245421686747,273.3989927768707,2027,2026-02-03T19:04:30.262135
CSMA,20,3184,1587,49.8429648241206,2931.1865488342787,0.44549464398235666,58.61805698391799,1.4952741020793952,77,17.40558583280153,275.1513123512268,2025,2026-02-03T19:04:32.015100
CSMA,20,3164,1272,40.202275600505686,2325.6457908805032,0.6242138364779874,124.36815427536695,1.5833333333333333,112,18.482793661729247,278.6657347679138,2026,2026-02-03T19:04:35.530034
CSMA,20,3161,1254,39.67099019297691,2475.801366028708,0.6371610845295056,114.93941907842694,1.7057416267942584,102,16.65740271793172,287.75791811943054,2027,2026-02-03T19:04:44.621904
